Division,semEpidem,nuevos_propios,nuevos_externos,incidencia_semal,acumulados_sema,porcentaje_asintomaticos,positividad_antigeno,tasa_positividad(1000),SE_incidencia,SE_incidencia_datox,SE_positividad,SE_positividad_datox,SE_seguimientoInicio,SE_seguimientoInicio_datox,SE_seguimientoInicio_datoy,SE_seguimientoDesempeno,SE_seguimientoDesempeno_datox,SE_seguimientoDesempeno_datoy,SE_notificacionOportunidad,SE_notificacionOportunidad_datox,SE_notificacionOportunidad_datoy,SE_contactosDeteccion,SE_contactosDeteccion_datox,SE_contactosDeteccion_datoy,SE_trazabilidadOportu,SE_trazabilidadOportu_datox,SE_trazabilidadDesempeno,SE_trazabilidadDesempeno_datox,SE_trazabilidadDesempeno_datoy,SO_busqueda,SO_busqueda_datox,SO_testeo,SO_testeo_datox,SO_preventiva,SO_preventiva_datox,SO_preventiva_datoy,SO_asintomaticos,SO_asintomaticos_datox,SO_brotes_amarillos,SO_brotes_amarillos_datox,SO_brotes_rojos,SO_brotes_rojos_datox,SO_notificacionOportu,SO_notificacionOportu_datox,SO_notificacionOportu_datoy,SO_trazabilidadOportu,SO_trazabilidadOportu_datox
GLOBAL,33,46,43,1.51,3975,63.22,0.003,3,2,1.51,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,63.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,34,0,0,0,14,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,34,1,2,0.54,243,0,0.001,1,1,0.54,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,34,5,7,1.19,921,50,0.009,9,2,1.19,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,34,2,3,0.41,1314,40,0,0,1,0.41,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,34,0,3,0.93,267,66.67,0.002,2,1,0.93,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,34,0,8,2.37,305,25,0.006,6,2,2.37,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,34,1,4,0.84,386,0,0.002,2,1,0.84,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,34,5,1,1.5,48,80,0.004,4,2,1.5,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,34,1,0,0.53,47,100,0.001,1,1,0.53,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,34,0,11,0.94,484,50,0.002,2,1,0.94,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,34,15,39,0.92,4029,42.31,0.003,3,1,0.92,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,42.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,35,0,0,0,14,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,35,0,1,0.18,244,0,0,0,1,0.18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,35,4,18,2.18,943,63.64,0.001,1,2,2.18,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,63.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,35,2,5,0.57,1321,71.43,0.002,2,1,0.57,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,71.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,35,0,1,0.31,268,100,0.002,2,1,0.31,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,35,1,10,3.26,316,18.18,0.006,6,2,3.26,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,35,1,6,1.18,393,14.29,0.009,9,2,1.18,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,35,5,5,2.5,58,20,0,0,2,2.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,35,1,1,1.06,49,100,0.002,2,2,1.06,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,35,0,10,0.85,494,70,0,0,1,0.85,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,35,14,57,1.21,4100,47.89,0.002,2,2,1.21,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,47.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,36,0,1,1.37,15,0,0,0,2,1.37,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,36,1,2,0.54,247,66.67,0,0,1,0.54,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,36,11,12,2.28,966,69.57,0,0,2,2.28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,69.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,36,3,12,1.22,1336,40,0.002,2,2,1.22,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,36,1,6,2.16,275,42.86,0,0,2,2.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,42.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,36,0,2,0.59,318,50,0,0,1,0.59,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,36,5,2,1.18,400,42.86,0.005,5,2,1.18,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,42.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,36,0,2,0.5,60,0,0.001,1,1,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,36,1,1,1.06,51,50,0,0,2,1.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,36,1,12,1.11,507,84.62,0.007,7,2,1.11,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,84.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,36,23,52,1.28,4175,58.9,0.002,2,2,1.28,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,58.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,37,0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,37,2,2,0.72,251,0,0,0,1,0.72,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,37,7,7,1.39,980,64.29,0.001,1,2,1.39,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,37,9,4,1.06,1349,69.23,0.003,3,2,1.06,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,69.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,37,1,1,0.62,277,50,0.001,1,1,0.62,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,37,0,0,0,318,0,0.001,1,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,37,3,4,1.18,407,28.57,0.005,5,2,1.18,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,28.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,37,0,2,0.5,62,0,0,0,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,37,0,1,0.53,52,100,0,0,1,0.53,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,37,0,10,0.85,517,50,0.001,1,1,0.85,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,37,22,31,0.9,4228,52.94,0.001,1,1,0.9,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,52.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,38,0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,38,0,1,0.18,252,100,0,0,1,0.18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,38,3,2,0.5,985,100,0.001,1,1,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,38,19,7,2.12,1375,46.15,0.003,3,2,2.12,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,46.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,38,0,1,0.31,278,100,0.001,1,1,0.31,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,38,2,3,1.48,323,40,0.001,1,2,1.48,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,38,1,2,0.51,410,0,0.003,3,1,0.51,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,38,0,4,1,66,0,0.001,1,2,1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,38,0,0,0,52,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,38,0,14,1.19,531,64.29,0.002,2,2,1.19,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,38,25,34,1,4287,53.57,0.002,2,2,1,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,53.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,39,0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,39,0,3,0.54,255,100,0.001,1,1,0.54,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,39,6,5,1.09,996,81.82,0.001,1,2,1.09,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,39,9,15,1.95,1399,70.83,0.003,3,2,1.95,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,70.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,39,0,0,0,278,0,0.002,2,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,39,0,6,1.78,329,66.67,0.003,3,2,1.78,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,39,1,4,0.84,415,20,0.001,1,1,0.84,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,39,2,0,0.5,68,100,0,0,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,39,0,1,0.53,53,100,0.001,1,1,0.53,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,39,0,18,1.53,549,44.44,0.002,2,2,1.53,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,44.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,39,18,52,1.19,4357,63.77,0.002,2,2,1.19,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,63.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,40,0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,40,0,5,0.9,260,60,0.001,1,1,0.9,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,40,3,3,0.6,1002,100,0,0,1,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,40,6,12,1.47,1417,72.22,0.002,2,2,1.47,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,72.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,40,1,2,0.93,281,33.33,0.001,1,1,0.93,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,40,0,1,0.3,330,0,0.001,1,1,0.3,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,40,0,3,0.51,418,0,0.003,3,1,0.51,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,40,2,3,1.25,73,0,0.001,1,2,1.25,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,40,1,1,1.06,55,0,0,0,2,1.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,40,2,46,4.09,597,54.17,0.003,3,2,4.09,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,54.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,40,15,76,1.55,4448,53.85,0.002,2,2,1.55,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,53.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,41,0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,41,0,1,0.18,261,100,0,0,1,0.18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,41,4,1,0.5,1007,60,0,0,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,41,5,10,1.22,1432,46.67,0.001,1,2,1.22,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,46.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,41,0,2,0.62,283,0,0.001,1,1,0.62,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,41,0,4,1.19,334,25,0.001,1,2,1.19,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,41,1,2,0.51,421,0,0.001,1,1,0.51,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,41,10,2,3,85,40,0.003,3,2,3,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,41,1,1,1.06,57,100,0.002,2,2,1.06,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,41,2,44,3.92,643,73.91,0.001,1,2,3.92,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,73.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,41,23,67,1.53,4538,59.09,0.001,1,2,1.53,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,59.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,42,0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,42,1,1,0.36,263,0,0,0,1,0.36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,42,1,1,0.2,1009,0,0,0,1,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,42,5,4,0.73,1441,77.78,0.002,2,1,0.73,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,77.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,42,0,1,0.31,284,100,0,0,1,0.31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,42,0,0,0,334,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,42,0,3,0.51,424,33.33,0,0,1,0.51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
